BRASIL;163.947.554
REGIÃO NORTE;12.133.705
RONDÔNIA;1.296.856
ACRE;527.937
AMAZONAS;2.580.860
RORAIMA;266.922
PARÁ;5.886.454
AMAPÁ;439.781
TOCANTINS;1.134.895
REGIÃO NORDESTE;46.289.042
MARANHÃO;5.418.349
PIAUÍ;2.734.152
CEARÁ ;7.106.605
RIO GRANDE DO NORTE;2.654.501
PARAÍBA;3.375.609
PERNANBUCO;7.580.826
ALAGOAS;2.713.203
SERGIPE;1.712.786
BAHIA;12.993.011
REGIÃO SUDESTE  ;69.858.115
MINAS GERAIS;17.295.955
ESPÍRITO SANTO;2.938.062
RIO DE JANEIRO;13.807.358
SÃO PAULO;35.816.740
REGIÃO SUL;24.445.950
PARANÁ;9.375.592
SANTA CATARINA;5.098.448
RIO GRANDE DO SUL;9.971.910
REGIÃO CENTRO-OESTE;11.220.742
MATO GROSSO DO SUL;2.026.600
MATO GROSSO;2.375.549
GOIÁS;4.848.725
DISTRITO FEDERAL;1.969.868
